turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_unico_disciplina,cod_depto,nome_disciplina
01,2022.2,TANIA CRISTINA DA SILVA CRUZ (30h),6T1234 (25/10/2022 - 18/02/2023),16,40,CDT - Sala Interação,CDT1101,0.0,643,TECNOLOGIA SOCIAL E INOVAÇÃO
01,2022.2,JONATHAS FELIPE AIRES FERREIRA (30h),6T1234 (25/10/2022 - 18/02/2023),16,40,CDT - Sala Interação,CDT1101,0.0,643,TECNOLOGIA SOCIAL E INOVAÇÃO
01,2022.2,LAURA ANGELICA FERREIRA DARNET (60h),35N34,20,30,BSA S BT 47/10,CDS0001,1.0,640,PLANEJAMENTO E AVALIAÇÃO SOCIOAMBIENTAL
01,2022.2,MAURO GUILHERME MAIDANA CAPPELLARO (60h),35N34,38,40,BSA S B1 26/13,CDS0007,2.0,640,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL
03,2022.2,CRISTIANE GOMES BARRETO (60h),36N12,29,50,"FT, Bloco D, sala DT 11/15",CDS0007,2.0,640,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL
04,2022.2,STEPHANIE CAROLINE NASUTI (60h),5T2345,27,41,CDS - AUDITÓRIO CERRADO,CDS0007,2.0,640,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL
01,2022.2,DORIS ALEIDA VILLAMIZAR SAYAGO (60h),35N34,32,40,BSA S B1 41/13,CDS0008,3.0,640,"MEIO AMBIENTE, CULTURA E SOCIEDADE"
01,2022.2,JESSICA PEREIRA GARCIA (30h),6N34,29,30,BSA S B2 26/17,CDS0010,4.0,640,TRABALHO INTERDISCIPLINAR INTEGRADO 1
01,2022.2,FREDERIC ADELIN GEORGES MERTENS (60h),35N34,12,30,BSA S B2  41/10,CDS0011,5.0,640,SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE
01,2022.2,ANA KARINE PEREIRA (60h),6M1234,25,30,BSA S BT 41/10,CDS0012,6.0,640,POLÍTICAS PÚBLICAS E MEIO AMBIENTE
01,2022.2,MAURICIO DE CARVALHO AMAZONAS (60h),35N12,17,30,BSA S BT 34/10,CDS0014,7.0,640,TEORIAS DO DESENVOLVIMENTO
01,2022.2,SAULO RODRIGUES PEREIRA FILHO (60h),35T56,13,30,CDS - SALA COPAÍBA,CDS0015,8.0,640,INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL
01,2022.2,IZABEL CRISTINA BRUNO BACELLAR ZANETI (60h),24N34,13,30,BSA S B1 34/10,CDS0016,9.0,640,EDUCAÇÃO E MEIO AMBIENTE
01,2022.2,MARIANA TOMAZIN (60h),4T2345,15,40,CET - Módulo B sala 2,CET0001,10.0,314,PLANEJAMENTO E GESTÃO EM TURISMO 1
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (30h),2M34,25,40,CET - Módulo C,CET0002,11.0,314,LEGISLAÇÃO TURÍSTICA
01,2022.2,MARIANA TOMAZIN (60h),6M1234,21,40,CET - Módulo B sala 2,CET0005,12.0,314,PLANEJAMENTO E GESTÃO EM TURISMO 2
01,2022.2,FAGNO TAVARES DE OLIVEIRA (30h),3M34,17,40,CET - Módulo C,CET0006,13.0,314,FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO
01,2022.2,MARUTSCHKA MARTINI MOESCH (30h),4M34,22,40,CET - Módulo E,CET0007,14.0,314,PROJETO INTEGRADOR EM TURISMO 3
01,2022.2,ALESSANDRA SANTOS DOS SANTOS (30h),5T2345,33,36,CET - Módulo B sala 2,CET0012,15.0,314,ENOTURISMO
01,2022.2,CAROLINA MENEZES PALHARES (30h),5T2345,33,36,CET - Módulo B sala 2,CET0012,15.0,314,ENOTURISMO
01,2022.2,MARUTSCHKA MARTINI MOESCH (60h),3M1234,36,40,CET - Módulo E,CET0013,16.0,314,PESQUISA EM TURISMO
01,2022.2,FAGNO TAVARES DE OLIVEIRA (60h),4T2345,10,40,CET - Módulo B sala 3,CET0014,17.0,314,ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS
01,2022.2,MARIANA TOMAZIN (30h),3M34,19,30,CET - Módulo B sala 2,CET0015,18.0,314,SEMINÁRIOS EM TURISMO 3
02,2022.2,LUIZ CARLOS SPILLER PENA (30h),3T23,20,30,CET - Módulo B sala 3,CET0018,19.0,314,TURISMO RURAL
01,2022.2,JOAO PAULO FARIA TASSO (60h),3T2345,11,40,CET - Módulo E,CET0022,20.0,314,ELABORAÇAO DE PROJETOS EM TURISMO
01,2022.2,NEUZA DE FARIAS ARAUJO (30h),6M34,18,40,CET - Módulo C,CET0036,21.0,314,SEMINÁRIOS EM TURISMO 6
01,2022.2,NEUZA DE FARIAS ARAUJO (30h),6M12,20,40,CET - Módulo C,CET0037,22.0,314,SEMINÁRIOS EM TURISMO 7
01,2022.2,THIAGO SEBASTIANO DE MELO (60h),4M1234,24,45,CET - Módulo D (sala de aula),CET0038,23.0,314,ESTUDO DO TURISMO 1
01,2022.2,JOAO PAULO FARIA TASSO (60h),5T2345,11,40,CET - Módulo E,CET0039,24.0,314,SUSTENTABILIDADE ÉTICA E TURISMO
01,2022.2,FAGNO TAVARES DE OLIVEIRA (60h),6M1234,17,40,CET - Módulo D (sala de aula),CET0040,25.0,314,ESTUDO DO TURISMO 2
01,2022.2,ANGELA TEBERGA DE PAULA (60h),3M1234,23,41,CET - Módulo D (sala de aula),CET0041,26.0,314,CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO
01,2022.2,NEUZA DE FARIAS ARAUJO (60h),5T2345,19,40,CET - Módulo B sala 3,CET0042,27.0,314,PROJETO INTEGRADOR EM TURISMO 1
01,2022.2,MARIANA TOMAZIN (60h),3T2345,17,40,CET - Módulo B sala 2,CET0043,28.0,314,ESTUDO DO TURISMO 3
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (30h),6M1234,25,42,CET - Módulo E,CET0044,29.0,314,COMUNICAÇÃO NO TURISMO
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (30h),6M1234,25,42,CET - Módulo E,CET0044,29.0,314,COMUNICAÇÃO NO TURISMO
01,2022.2,LUIZ CARLOS SPILLER PENA (60h),4T2345,21,40,CET - Módulo E,CET0045,30.0,314,ESTRUTURAS DE SUPORTE AO TURISMO
01,2022.2,THIAGO SEBASTIANO DE MELO (15h),2M34,19,30,CET - Módulo E,CET0046,31.0,314,SEMINÁRIOS EM TURISMO 1
01,2022.2,EUZAMARA DE CARVALHO (15h),2M34,19,30,CET - Módulo E,CET0046,31.0,314,SEMINÁRIOS EM TURISMO 1
01,2022.2,ANGELA TEBERGA DE PAULA (60h),2T2345,29,40,CET - Módulo E,CET0050,32.0,314,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS
01,2022.2,THIAGO SEBASTIANO DE MELO (30h),2M12,24,40,CET - Módulo E,CET0051,33.0,314,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS
01,2022.2,ANGELA TEBERGA DE PAULA (30h),4M34,25,40,CET - Módulo B sala 2,CET0052,34.0,314,EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (60h),4M1234,28,40,CET - Módulo C,CET0053,35.0,314,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (60h),5M1234,22,40,CET - Módulo C,CET0054,36.0,314,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS
01,2022.2,THIAGO SEBASTIANO DE MELO (30h),3M12,10,40,CET - Módulo B sala 2,CET0055,37.0,314,PROJETO INTEGRADOR EM TURISMO 2
01,2022.2,ANGELA TEBERGA DE PAULA (30h),4M12 (25/10/2022 - 18/02/2023),30,31,CET - Módulo B sala 2,CET0090,38.0,314,TRABALHO E EMPREGO NO TURISMO
01,2022.2,MARIANA TOMAZIN (15h),5M5  5T1 (25/10/2022 - 18/02/2023),19,20,CET - Módulo D (Lab. Eventos e Gastronomia),CET0091,39.0,314,ESCRIVIVENDO PELO E COM O TURISMO
01,2022.2,MARUTSCHKA MARTINI MOESCH (15h),5M5  5T1 (25/10/2022 - 18/02/2023),19,20,CET - Módulo D (Lab. Eventos e Gastronomia),CET0091,39.0,314,ESCRIVIVENDO PELO E COM O TURISMO
02,2022.2,JOÃO LUIZ HOMEM DE CARVALHO (30h),3N12,37,40,BSA N A1 09/41,CEM0005,40.0,650,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR
01,2022.2,HILTON PEREIRA DA SILVA (60h),3T2345,28,40,PJC BT 125,CEM0007,41.0,650,SAÚDE DIREITOS HUMANOS E ANTROPOLOGIA
01,2022.2,GUILLERMO JOSE ASPER Y VALDES (30h),4M12,11,15,BSAS B2 21/14,CEM0009,42.0,650,GESTÃO E INOVAÇÃO DE PROCESSOS CRÍTICOS EM ORGANIZAÇÃO DE SERVIÇO
01,2022.2,MURILO SILVA DE CAMARGO (60h),2N1234,28,30,PJC BT 005,CEM0015,43.0,650,"UNIVERSIDADE, SOCIEDADE E ESTADO"
02,2022.2,MURILO SILVA DE CAMARGO (60h),4N1234,25,30,PJC BT 005,CEM0015,43.0,650,"UNIVERSIDADE, SOCIEDADE E ESTADO"
01,2022.2,NADIR HILGER (30h),4T45,13,15,SG 10 - Núcleo de dança - Sala A,CEM0018,44.0,650,LAYA YOGA
01,2022.2,Alberto Luís Araújo Silva Filho                              (60h),4N1234,33,40,ICC AT - 079/8,CEM0021,45.0,650,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS
01,2022.2,SILVIA BADIM MARQUES (60h),4N1234,33,40,ICC AT - 079/8,CEM0021,45.0,650,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS
01,2022.2,LUCAS BRITO DE LIMA (60h),4N1234,33,40,ICC AT - 079/8,CEM0021,45.0,650,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS
01,2022.2,Tony Gigliotti Bezerra (60h),4N1234,33,40,ICC AT - 079/8,CEM0021,45.0,650,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS
01,2022.2,URANIA FLORES DA CRUZ FREITAS (0h),,161,,,CEM0031,46.0,650,Módulo 2
01,2022.2,OLGA CRISTINA ROCHA DE FREITAS (0h),,161,,,CEM0031,46.0,650,Módulo 2
01,2022.2,DANIELA FAVARO GARROSSINI (0h),,161,,,CEM0032,47.0,650,Módulo 3: Metodologia de Pesquisa: Ação-Reflexão-Ação
01,2022.2,PATRICIA CRISTINA DA SILVA PINHEIRO (0h),,0,,,CEM0033,48.0,650,Módulo 4
01,2022.2,URANIA FLORES DA CRUZ FREITAS (0h),,0,,,CEM0033,48.0,650,Módulo 4
02,2022.2,PATRICIA CRISTINA DA SILVA PINHEIRO (0h),,0,,,CEM0033,48.0,650,Módulo 4
02,2022.2,URANIA FLORES DA CRUZ FREITAS (0h),,0,,,CEM0033,48.0,650,Módulo 4
01,2022.2,(0h),,0,,,CEM0034,49.0,650,Módulo 5
01,2022.2,ANA SHEILA FERNANDES COSTA (0h),,0,,,CEM0034,49.0,650,Módulo 5
01,2022.2,(0h),,0,,,CEM0035,50.0,650,Módulo 6
01,2022.2,JOSE VIEIRA DE SOUSA (0h),,0,,,CEM0035,50.0,650,Módulo 6
01,2022.2,JONATAS DE FRANCA BARROS (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,RAUL LUÍS DE MELO DUSI (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,ALESSANDRA LISBOA DA SILVA (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,JACKELINE NERES BELLUCCI (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,TAYANE MEDEIROS DE OLIVEIRA (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,ANDREA DE OLIVEIRA GONCALVES (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,ANDRE RIBEIRO DA SILVA (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,JITONE LEONIDAS SOARES (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,ISAIAS NERY FERREIRA (60h),7M1234,690,820,A definir,CEM0051,51.0,650,PROMOÇÃO DA SAÚDE 3
01,2022.2,FERNANDO PAIVA SCARDUA (60h),35T23,7,20,PAT AT 124,CEM0054,52.0,650,INTRODUÇÃO A GESTÃO AMBIENTAL
02,2022.2,FERNANDO PAIVA SCARDUA (60h),35T45,8,20,PAT AT 125,CEM0054,52.0,650,INTRODUÇÃO A GESTÃO AMBIENTAL
01,2022.2,MARIA AUXILIADORA CESAR (30h),3N12,35,40,PAT AT 140,CEM0056,53.0,650,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL
01,2022.2,MARTIN LEON JACQUES IBANEZ DE NOVION (30h),3N12,35,40,PAT AT 140,CEM0056,53.0,650,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL
01,2022.2,ADALBERTO DE SALLES LIMA (60h),5N1234,17,20,ICC AT- 175/8,CEM0063,54.0,650,"VIOLÊNCIA, SEGURANÇA E CIDADANIA"
01,2022.2,RAFAELA ROCHA FEIJÓ (15h),6M1234,28,60,BSA S B2 34/13,CEM0067,55.0,650,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE
01,2022.2,ROMULO GUILHERME FERREIRA DA SILVA (15h),6M1234,28,60,BSA S B2 34/13,CEM0067,55.0,650,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE
01,2022.2,PAULO RAMOS COELHO FILHO (30h),6M1234,28,60,BSA S B2 34/13,CEM0067,55.0,650,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE
01,2022.2,MARIA CARMEN AIRES GOMES (60h),35T45,22,45,PJC BT 116,CEM0077,56.0,650,"DISCURSO, GENERO, SOCIAL E LETRAMENTO"
01,2022.2,ALBENE MIRIAM MENEZES KLEMI (60h),2T2345,18,30,PJC BT 140,CEM0083,57.0,650,INTEGRAÇÃO NO MERCOSUL
01,2022.2,Claudete Cardoso Penteado (60h),5N1234,41,50,PJC BT 125,CEM0097,58.0,650,DIREITOS HUMANOS E CIDADANIA
02,2022.2,MANOEL PEREIRA DE ANDRADE (60h),2M1234,11,40,ICC AT - 079/8,CEM0110,59.0,650,AGRICULTURA ALTERNATIVA
02,2022.2,JOÃO LUIZ HOMEM DE CARVALHO (60h),2M1234,11,40,ICC AT - 079/8,CEM0110,59.0,650,AGRICULTURA ALTERNATIVA
01,2022.2,HILTON PEREIRA DA SILVA (30h),5T23,18,20,PJC BT 125,CEM0116,60.0,650,SAÚDE INTERNACIONAL
02,2022.2,HILTON PEREIRA DA SILVA (30h),5T45,9,20,PJC BT 125,CEM0116,60.0,650,SAÚDE INTERNACIONAL
01,2022.2,MARCELO BORBA BERDET (30h),3N12 (25/10/2022 - 18/02/2023),17,20,ICC B1 254,CEM0123,61.0,650,DECOLONIALIDADE E A MATRIZ PUNITIVA IBERO-AMERICANA
01,2022.2,RENATA MELO BARBOSA DO NASCIMENTO (60h),5N1234 (25/10/2022 - 18/02/2023),39,45,PJC BT 140,CEM0125,62.0,650,"HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS"
01,2022.2,LUIS ANTONIO PASQUETTI (15h),6N1 (25/10/2022 - 18/02/2023),38,50,PJC BT 021,CEM0132,63.0,650,EXPERIÊNCIAS HISTÓRICAS DE REFORMA AGRÁRIA NO MUNDO
01,2022.2,LUANA NERY MORAES (60h),3T2345,25,50,BSA S B2 41/13,CEM0133,64.0,650,MULHERES INSPIRADORAS: PERSPECTIVAS CRÍTICAS PARA A EDUCAÇÃO EM DIREITOS HUMANOS
01,2022.2,ISABEL SANTOS DO NASCIMENTO FORMIGA (60h),3T2345,25,50,BSA S B2 41/13,CEM0133,64.0,650,MULHERES INSPIRADORAS: PERSPECTIVAS CRÍTICAS PARA A EDUCAÇÃO EM DIREITOS HUMANOS
01,2022.2,ADRIANO SOUZA SENKEVICS (60h),6M1234 (25/10/2022 - 18/02/2023),25,30,,CEM0134,65.0,650,EDUCAÇÃO E DESIGUALDADES SOCIAIS
01,2022.2,ANTONIO RAIMUNDO LIMA CRUZ TEIXEIRA (60h),6M1234 (25/10/2022 - 18/02/2023),33,100,BSA N A1 22/4,CEM0136,66.0,650,A ORIGEM DA VIDA
02,2022.2,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA (60h),6M1234 (25/10/2022 - 18/02/2023),17,20,A definir,CBH0002,67.0,1448,BIOÉTICA E BIOTECNOCIÊNCIAS
01,2022.2,SWEDENBERGER DO NASCIMENTO BARBOSA (60h),4T2345 (25/10/2022 - 18/02/2023),17,20,A definir,CBH0004,68.0,1448,BIOÉTICA E SAÚDE PÚBLICA
01,2022.2,MARIA JULIA MARTINS SILVA (30h),7T2345 (25/10/2022 - 18/02/2023),5,10,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,69.0,677,TÓPICOS EM ESTUDOS DO CERRADO 2
01,2022.2,MARIA FERNANDA NINCE FERREIRA (30h),7T2345 (25/10/2022 - 18/02/2023),5,10,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,69.0,677,TÓPICOS EM ESTUDOS DO CERRADO 2
02,2022.2,RENATO CAPARROZ (60h),6T2345 (25/10/2022 - 18/02/2023),24,30,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,69.0,677,TÓPICOS EM ESTUDOS DO CERRADO 2
01,2022.2,ALEXANDRE FONSECA (30h),3T2345,1,1,a definir,DPG0052,70.0,170,TÓPICOS EM QUÍMICA ANALÍTICA 2
01,2022.2,CYRO LUCAS SILVA CHAGAS (30h),3T2345,1,1,a definir,DPG0052,70.0,170,TÓPICOS EM QUÍMICA ANALÍTICA 2
01,2022.2,ANDRE PACHECO DE ASSIS (30h),2M34,4,3,AT - 23/11,DPG0072,71.0,170,OBRAS SUBTERRÂNEAS
01,2022.2,RAFAEL CERQUEIRA SILVA (15h),4T23,2,1,AT - 23/11,DPG0154,72.0,170,MECÂNICA DOS PAVIMENTOS
01,2022.2,MARCIO MUNIZ DE FARIAS (15h),4T23,2,1,AT - 23/11,DPG0154,72.0,170,MECÂNICA DOS PAVIMENTOS
01,2022.2,AMAURI GUTIERREZ MARTINS BRITTO (60h),35M34,1,1,Sala de Aula do Espaço Sérgio Barroso,DPG0168,73.0,170,MODELAGEM DE SISTEMAS DE POTÊNCIA
01,2022.2,EDUARDO ANTONIO DA SILVA (75h),35T23 6T2,1,1,PPGMAT,DPG0227,74.0,170,INTRODUÇÃO À PROBABILIDADE E APLICAÇÕES
01,2022.2,ANDRE PACHECO DE ASSIS (30h),3M12,2,2,AT-23/11,DPG0394,75.0,170,BARRAGENS
02,2022.2,GERALDO MAGELA E SILVA (60h),35M34,1,1,IF,DPG0404,76.0,170,TEORIA DE GRUPOS APLICADA A FÍSICA
01,2022.2,ANDRE LUIS BRASIL CAVALCANTE (30h),4M12,1,1,AT - 23/11,DPG0435,77.0,170,TRANSPORTE DE CONTAMINANTES E SEDIMENTOS
01,2022.2,FABIO IGLESIAS (60h),6M1234,1,1,CSS 009/39,DPG0573,78.0,170,MÉTODOS INFERENCIAIS EM PSICOLOGIA
02,2022.2,LUIS CARLOS RAMOS NOGUEIRA (60h),2T2345,2,2,a definir,DPG0608,79.0,170,TEORIAS CONTEMPORÂNEAS DA TRADUÇÃO
02,2022.2,PEDRO HENRIQUE DE OLIVEIRA NETO (90h),246M34,1,1,IF,DPG0641,80.0,170,MECÂNICA ESTATÍSTICA
01,2022.2,MARCIO MUNIZ DE FARIAS (30h),3M34,1,1,AT - 23/11,DPG0648,81.0,170,MÉTODOS NUMERICOS EM GEOTECNIA
01,2022.2,MANOEL PORFIRIO CORDAO NETO (30h),5M34,1,1,AT - 23/11,DPG0776,82.0,170,MECÂNICA DOS SOLOS NÃO SATURADOS
01,2022.2,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO (60h),35T23,4,4,Sala de Aula do Espaço Sérgio Barroso,DPG0786,83.0,170,PROCESSOS ESTOCÁSTICOS
01,2022.2,MARTINO GARONZI (75h),6M5  24T45,1,1,PPGMAT,DPG0818,84.0,170,TEORIA DE GRUPOS FINITOS 1
01,2022.2,KLEBER MELO E SILVA (60h),35M12,1,1,Sala de Aula do Espaço Sérgio Barroso,DPG0907,85.0,170,TÓPICOS EM SISTEMAS DE POTÊNCIA 1
01,2022.2,LUCIANA MARIA DIAS DE AVILA RODRIGUES (75h),35M34 6M3,1,1,PPGMAT,DPG1031,86.0,170,GEOMETRIA DIFERENCIAL
01,2022.2,UGO SILVA DIAS (60h),24M12,4,4,Sala de Aula do Espaço Sérgio Barroso,DPG1100,87.0,170,TÓPICOS EM REDES DE COMUNICAÇÃO 2
01,2022.2,CIRA ETHEOWALDA GUEVARA OTINIANO (60h),24M12,0,1,Lab. 02,DPG1142,88.0,170,TÓPICOS ESPECIAIS EM ESTATÍSTICA 1
02,2022.2,DEISE MATOS DO AMPARO (60h),2T2345 (25/10/2022 - 18/02/2023),2,2,CSS 009/39,DPG1239,89.0,170,TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA E CULTURA A
01,2022.2,RICARDO GARGANO (60h),35M34,1,1,IF,DPG1240,90.0,170,FÍSICA MOLECULAR 2
01,2022.2,JOSE ALEXANDER ARAUJO (60h),24T6  24N1,1,1,SG 9 LAB. MECÂNICA,DPG1242,91.0,170,INTRODUÇÃO À MECÂNICA DO CONTATO ELÁSTICO
01,2022.2,YURI DUMARESQ SOBRAL (75h),35T45 6T4 (25/10/2022 - 18/02/2023),1,1,PPGMAT,DPG1243,92.0,170,INTRODUÇÃO A MÉTODOS COMPUTACIONAIS EM EDO
01,2022.2,LINEU JOSE PEDROSO (60h),35M34,1,1,SG-12 - 35M34,DPG1244,93.0,170,DINÂMICA DAS ESTRUTURAS 2
01,2022.2,GREGORIO LUIS SILVA ARAUJO (15h),5T2 (25/10/2022 - 18/02/2023),1,1,AT - 23/11,DPG1245,94.0,170,INSTRUMENTAÇÃO DE CAMPO E LABORATÓRIO
01,2022.2,DANIELE NUNES HENRIQUE SILVA (60h),2M1234,1,1,AT 141,DPG1246,95.0,170,PSICOLOGIA DO DESENVOLVIMENTO EM CONDIÇÕES ESPECIAIS
01,2022.2,SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA (60h),24M12 (25/10/2022 - 18/02/2023),1,1,a definir,DPG1247,96.0,170,FISIOLOGIA PARA ENGENHARIA BIOMÉDICA
01,2022.2,SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA (60h),24M34 (25/10/2022 - 18/02/2023),1,1,a definir,DPG1248,97.0,170,TECNOLOGIAS EM ENGENHARIA BIOMÉDICA
01,2022.2,FAUSTON NEGREIROS (30h),3M1234 (25/10/2022 - 18/02/2023),1,1,CSS 009/39,DPG1249,98.0,170,SEMINÁRIO DE PESQUISA EM DESENVOLVIMENTO HUMANO E PSICOLOGIA ESCOLAR
01,2022.2,ASDRUBAL BORGES FORMIGA SOBRINHO (30h),3M1234 (25/10/2022 - 18/02/2023),1,1,CSS 009/39,DPG1249,98.0,170,SEMINÁRIO DE PESQUISA EM DESENVOLVIMENTO HUMANO E PSICOLOGIA ESCOLAR
01,2022.2,JAQUELINE GODOY MESQUITA (75h),3M34 5M345,1,1,PPGMAT,DPG1250,99.0,170,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS 2
01,2022.2,SERGE DOMINIQUE MARGEL (60h),7T2345,0,1,Darcy Ribeiro,DPG1251,100.0,170,"LITERATURA, ARTES E MÍDIAS"
01,2022.2,SUELY SALES GUIMARAES (60h),2M1234,1,1,CSS 009/39,DPG1252,101.0,170,TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA E CULTURA D
01,2022.2,ANDRE VON BORRIES LOPES (60h),7M1234,1,1,sala A,DPG1253,102.0,170,POLINÔMIOS E EQUAÇÕES ALGÉBRICAS
01,2022.2,ALEXANDRE SIMOES PILATI (60h),6M1234,43,100,SALA 03 (Marechal Rondon) - Beijódromo,DEX1101,103.0,158,DARCY RIBEIRO: PENSAMENTO E FAZIMENTOS
01,2022.2,MURILO SILVA DE CAMARGO (60h),6M1234,43,100,SALA 03 (Marechal Rondon) - Beijódromo,DEX1101,103.0,158,DARCY RIBEIRO: PENSAMENTO E FAZIMENTOS
01,2022.2,MANOEL PEREIRA DE ANDRADE (30h),5T2345,18,30,Sala de reuniões 05 - Faculdade de Saúde,DEX1108,104.0,158,CONSTRUÇÃO DE PROJETOS SOCIAIS MULTIDISCIPLINARES
01,2022.2,SILVIA RIBEIRO DE SOUZA (30h),5T2345,18,30,Sala de reuniões 05 - Faculdade de Saúde,DEX1108,104.0,158,CONSTRUÇÃO DE PROJETOS SOCIAIS MULTIDISCIPLINARES
01,2022.2,MARIA FERNANDA DANGELO VALENTIM (30h),4T2345,14,16,FAC,DAP0001,105.0,351,BRANDING: UMA VISÃO PRÁTICA
01,2022.2,EDMUNDO BRANDAO DANTAS (30h),4T2345,14,16,FAC,DAP0001,105.0,351,BRANDING: UMA VISÃO PRÁTICA
